race ,total, smokers ,percent
white ,754,27,0.035809019
black,806,6,0.007444169
hispanic/latino,1172,46,0.039249147
asian-only,784,15,0.019132653
hawaiian or pacific islander ,34,2,0.058823529
american indian native-only ,43,2,0.046511628
Multiracial/Unspecified ,289,7,0.024221453
